year,country,sector,M,D,OUT,Mw,Dw,TLS
1995,KHM,B0609,3.034900,2.539900,7.495400,0.038200,0.000400,0.041800
1995,KHM,F,2325.181200,1858.057800,5561.085500,20.900800,2.767500,34.762800
1995,KHM,F09,2322.146300,1855.517900,5553.590100,20.862600,2.767100,34.721000
1995,KOR,B06,31.101500,22.197900,135.507100,6.508900,3.407300,0.804200
1995,KOR,B0609,32.616100,23.424900,147.616000,6.611800,3.462200,0.866500
1995,KOR,F,600540.407400,497169.125700,1133496.841400,10473.145000,6390.264900,17014.931100
1995,KOR,F09,600538.892800,497167.898700,1133484.732500,10473.042100,6390.210000,17014.868800
1995,LAO,B06,1.528800,1.034100,17.101000,0.047300,0.005200,0.028900
1995,LAO,B0609,6.381200,5.205900,34.272300,0.080400,0.009800,0.085300
1995,LAO,F,935.666600,663.151400,2690.604100,7.523100,1.108300,24.506200
1995,LAO,F09,930.814200,658.979600,2673.432800,7.490000,1.103700,24.449800
1995,LTU,B06,8.429200,4.582600,19.386500,0.586000,0.374400,0.396600
1995,LTU,B0609,8.841500,4.835100,22.698200,0.597800,0.382000,0.421900
1995,LTU,F,6707.107200,4956.416500,12954.230700,77.440600,52.140300,273.330800
1995,LTU,F09,6706.694900,4956.164000,12950.919000,77.428800,52.132700,273.305500
1995,LUX,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,LUX,B0609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,LUX,F,19264.925900,9698.237500,38593.873900,67.024800,9.429100,537.606700
1995,LUX,F09,19264.925900,9698.237500,38593.873900,67.024800,9.429100,537.606700
1995,LVA,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,LVA,B0609,0.012900,0.010600,0.166700,0.000600,0.000600,0.001200
1995,LVA,F,4952.152600,3976.343000,9956.872600,102.877100,88.678100,200.086100
1995,LVA,F09,4952.139700,3976.332400,9956.705900,102.876500,88.677500,200.084900
1995,MAR,B06,1.406300,1.051600,7.339700,0.069600,0.000100,0.099500
1995,MAR,B0609,3.422400,2.647600,29.115200,0.101700,0.000300,0.251100
1995,MAR,F,27966.346800,21804.227300,64241.899900,222.264300,53.905800,1377.946500
1995,MAR,F09,27964.330700,21802.631300,64220.124400,222.232200,53.905600,1377.794900
1995,MEX,B06,2531.743400,2293.148200,20168.703800,36.595200,0.110200,21.714700
1995,MEX,B0609,3150.486800,2860.684800,21227.808200,39.876000,0.185600,28.917600
1995,MEX,F,275251.392200,232663.830400,629620.500100,822.337100,319.179800,3548.246900
1995,MEX,F09,274632.648800,232096.293800,628561.395700,819.056300,319.104400,3541.044000
1995,MLT,B06,1.869100,1.425400,2.905800,0.111500,0.017900,0.031500
1995,MLT,B0609,10.603300,7.868000,19.664100,0.371400,0.068500,0.256300
1995,MLT,F,5283.213500,3858.927400,8704.755600,66.346500,21.019800,119.858000
1995,MLT,F09,5274.479300,3852.484800,8687.997300,66.086600,20.969200,119.633200
1995,MMR,B06,184.527800,112.971300,353.726300,21.334000,9.309100,2.114100
1995,MMR,B0609,186.109100,114.098800,356.904700,21.397400,9.339300,2.130900
1995,MMR,F,6861.323300,6044.724400,13524.941200,70.180000,42.092500,29.705700
1995,MMR,F09,6859.742000,6043.596900,13521.762800,70.116600,42.062300,29.688900
1995,MYS,B06,8227.039100,5842.899700,12888.596800,288.240500,1.535200,39.151200
1995,MYS,B0609,8900.283400,6291.603500,14138.316300,298.402600,2.301400,43.249900
1995,MYS,F,146749.644500,100109.434700,230691.874100,1147.069300,209.864300,561.052100
1995,MYS,F09,146076.400200,99660.730900,229442.154600,1136.907200,209.098100,556.953400
1995,NGA,B06,3789.755400,3031.219900,11187.816100,355.514900,0.539500,56.624900
1995,NGA,B0609,3795.751900,3036.244300,11200.494800,355.722700,0.540600,56.716600
1995,NGA,F,30278.648500,27804.279500,72716.983500,251.940600,13.859900,615.065800
1995,NGA,F09,30272.652000,27799.255100,72704.304800,251.732800,13.858800,614.974100
1995,NLD,B06,1664.783400,1076.615800,10843.769200,15.930900,5.861400,11.120300
1995,NLD,B0609,3013.210200,2006.610100,13969.944100,17.724500,7.318800,40.459700
1995,NLD,F,393871.726200,292099.020900,804759.339900,3697.888200,1778.985100,9316.492700
1995,NLD,F09,392523.299400,291169.026600,801633.165000,3696.094600,1777.527700,9287.153300
1995,NOR,B06,2451.733600,1894.714200,19744.152400,230.436900,79.770800,116.842400
1995,NOR,B0609,2933.654700,2276.046200,20736.757700,249.136700,87.046700,142.988100
1995,NOR,F,110865.784900,88270.853400,230004.209700,4754.140400,2002.192900,4475.148200
1995,NOR,F09,110383.863800,87889.521400,229011.604400,4735.440600,1994.917000,4449.002500
1995,NZL,B06,95.127500,69.602400,267.133100,1.545000,1.200500,1.698800
1995,NZL,B0609,224.257300,167.812900,451.019200,1.683300,1.278500,4.090500
1995,NZL,F,64402.761800,55993.495300,121727.939800,235.274700,191.589800,1195.027500
1995,NZL,F09,64273.632000,55895.284800,121544.053700,235.136400,191.511800,1192.635800
1995,PAK,B06,622.895800,529.788600,1650.497500,31.852400,24.172800,18.352700
1995,PAK,B0609,667.075400,567.972400,1759.700300,32.620700,24.771200,19.724100
1995,PAK,F,53125.411100,49084.284600,117890.652700,523.428100,433.034000,509.776900
1995,PAK,F09,53081.231500,49046.100800,117781.449900,522.659800,432.435600,508.405500
1995,PER,B06,545.944900,487.727700,1465.169900,8.062700,0.474200,24.718700
1995,PER,B0609,832.990900,762.157100,2336.588000,8.204000,0.547100,27.262500
1995,PER,F,42436.456600,38131.209700,91012.604900,133.175800,26.811400,1408.519300
1995,PER,F09,42149.410600,37856.780300,90141.186800,133.034500,26.738500,1405.975500
1995,PHL,B06,139.989800,98.722900,473.068500,18.550300,0.037600,2.245900
1995,PHL,B0609,167.724800,113.810500,526.166000,20.348000,0.050300,2.788600
1995,PHL,F,69249.760700,50586.815500,148555.065400,1954.440100,101.436200,1188.857700
1995,PHL,F09,69222.025700,50571.727900,148501.967900,1952.642400,101.423500,1188.315000
1995,POL,B06,36.154700,30.964400,56.749000,0.689600,0.379800,1.640100
1995,POL,B0609,99.850900,80.915100,190.995500,1.093100,0.606400,4.733600
1995,POL,F,136128.866200,121277.224400,265637.897500,372.497400,219.906500,4016.591200
1995,POL,F09,136065.170000,121227.273700,265503.651000,372.093900,219.679900,4013.497700
1995,PRT,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,PRT,B0609,3.664300,3.097000,9.112200,0.005200,0.003200,0.175800
1995,PRT,F,119886.902700,98460.282200,227330.349500,141.336600,76.920600,3315.229700
1995,PRT,F09,119883.238400,98457.185200,227321.237300,141.331400,76.917400,3315.053900
1995,ROU,B06,340.145700,301.264700,763.704400,11.108200,6.292100,5.464600
1995,ROU,B0609,542.320900,473.457800,1188.823100,14.216100,8.087600,14.210000
1995,ROU,F,42606.617300,36839.254100,77944.116600,268.533800,170.993200,262.714000
1995,ROU,F09,42404.442100,36667.061000,77518.997900,265.425900,169.197700,253.968600
1995,RUS,B06,2595.482300,2534.913900,26271.304000,10.130000,1.509000,10.836600
1995,RUS,B0609,19343.849600,18177.087300,45604.552600,77.691200,11.961600,1117.858600
1995,RUS,F,285125.335800,257012.807400,580783.345100,1009.173700,313.568500,6957.102600
1995,RUS,F09,268376.968500,241370.634000,561450.096500,941.612500,303.115900,5850.080600
1995,SAU,B06,7898.598300,6795.563500,48085.027100,30.729400,28.089400,55.901500
1995,SAU,B0609,7973.181300,6857.392000,48277.982600,30.909700,28.249600,56.621900
1995,SAU,F,64154.460800,50876.022300,165783.647200,143.069500,122.109400,607.353500
1995,SAU,F09,64079.877800,50814.193800,165590.691700,142.889200,121.949200,606.633100
1995,SEN,B06,1.492000,0.605100,1.785800,0.480400,0.000300,0.033000
1995,SEN,B0609,4.671000,2.564900,5.201500,0.935700,0.002600,0.129600
1995,SEN,F,4208.086200,3360.666400,10300.124400,155.906700,3.024900,92.132800
1995,SEN,F09,4204.907200,3358.706600,10296.708700,155.451400,3.022600,92.036200
1995,SGP,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,SGP,B0609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,SGP,F,132888.704800,89863.262900,216884.571400,9761.763700,5650.866500,2105.483400
1995,SGP,F09,132888.704800,89863.262900,216884.571400,9761.763700,5650.866500,2105.483400
1995,STP,B06,0.121200,0.065000,0.267800,0.045800,0.000100,0.000700
1995,STP,B0609,0.206500,0.128000,0.410200,0.060800,0.000200,0.001100
1995,STP,F,145.913800,124.898400,243.940700,5.704600,0.200500,0.383800
1995,STP,F09,145.828500,124.835400,243.798300,5.689600,0.200400,0.383400
1995,SVK,B06,0.355300,0.237500,0.471600,0.000400,0.000300,0.043600
1995,SVK,B0609,146.820500,110.325900,161.122100,0.472300,0.261000,7.026600
1995,SVK,F,25812.051500,19370.202300,44427.445900,33.531500,17.600100,1246.159300
1995,SVK,F09,25665.586300,19260.113900,44266.795400,33.059600,17.339400,1239.176300
1995,SVN,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,SVN,B0609,4.502500,3.662000,4.885600,0.011000,0.009900,0.223800
1995,SVN,F,21648.739700,16496.572500,40884.344300,31.545300,24.459400,850.095400
1995,SVN,F09,21644.237200,16492.910500,40879.458700,31.534300,24.449500,849.871600
1995,SWE,B06,21.479400,16.590300,34.828800,0.814000,0.400700,1.194600
1995,SWE,B0609,75.267200,59.421600,124.055900,2.611600,1.301100,4.963000
1995,SWE,F,238562.806000,194316.408100,484207.456800,3550.802200,2066.981300,10762.685000
1995,SWE,F09,238509.018200,194273.576800,484118.229700,3549.004600,2066.080900,10758.916600
1995,THA,B06,2245.284100,1380.701300,3348.956500,3.156700,1.569700,94.157700
1995,THA,B0609,2349.197400,1449.097700,4435.026400,4.327800,1.570600,98.756800
1995,THA,F,185784.048600,141590.807800,344732.352500,2267.259500,679.948700,6618.356900
1995,THA,F09,185680.135300,141522.411400,343646.282600,2266.088400,679.947800,6613.757800
1995,TUN,B06,281.831300,183.903400,911.917200,23.427600,0.012400,4.568900
1995,TUN,B0609,326.228200,214.321600,998.027200,24.810000,0.016600,5.580500
1995,TUN,F,16708.340300,12137.148600,34620.995400,247.947800,41.449300,279.024000
1995,TUN,F09,16663.943400,12106.730400,34534.885400,246.565400,41.445100,278.012400
1995,TUR,B06,91.855300,77.077600,463.584700,2.585500,0.039500,7.002900
1995,TUR,B0609,102.140700,86.039200,588.186700,2.687500,0.045600,7.758000
1995,TUR,F,166087.544100,145768.190400,381815.413200,1060.729600,563.027300,7645.793000
1995,TUR,F09,166077.258700,145759.228800,381690.811200,1060.627600,563.021200,7645.037900
1995,TWN,B06,89.881100,63.762900,275.466500,8.991400,8.482300,0.865400
1995,TWN,B0609,343.334100,248.335800,728.469800,18.851700,17.712200,4.177800
1995,TWN,F,321510.570300,240934.261600,591434.084600,4258.123300,3847.979400,2982.876500
1995,TWN,F09,321257.117300,240749.688700,590981.081300,4248.263000,3838.749500,2979.564100
1995,UKR,B06,1142.545800,770.507400,2110.778700,43.704000,35.253600,41.367200
1995,UKR,B0609,1772.703400,1208.945800,2781.621700,54.090500,43.711900,66.847800
1995,UKR,F,59536.512400,48907.028200,105890.128200,563.925300,467.291800,1032.532000
1995,UKR,F09,58906.354800,48468.589800,105219.285200,553.538800,458.833500,1007.051400
1995,USA,B06,33564.269800,30863.552300,73258.796000,500.875900,305.314500,586.962100
1995,USA,B0609,41611.899700,38458.717800,90200.720400,543.699200,332.033300,802.993200
1995,USA,F,5938880.703900,5559741.429300,13314472.708900,15423.257000,10590.150400,80256.852000
1995,USA,F09,5930833.074000,5552146.263800,13297530.784500,15380.433700,10563.431600,80040.820900
1995,VNM,B06,1388.221100,1184.839500,3647.833400,2.845700,1.426900,56.826300
1995,VNM,B0609,1433.765000,1221.488700,3732.952600,2.952700,1.489300,59.624800
1995,VNM,F,20042.477600,15546.276800,37436.586300,66.326700,45.740100,1076.051500
1995,VNM,F09,19996.933700,15509.627600,37351.467100,66.219700,45.677700,1073.253000
1995,ZAF,B06,720.458500,622.113200,860.027700,36.150800,0.001800,32.447700
1995,ZAF,B0609,995.486100,872.917800,1243.810000,40.634500,0.002600,45.474900
1995,ZAF,F,158051.368300,139929.966900,321863.670800,1120.000500,55.830200,5240.063600
1995,ZAF,F09,157776.340700,139679.162300,321479.888500,1115.516800,55.829400,5227.036400
1995,ROW,B06,43964.003300,39029.390500,131018.471200,1227.104200,324.900000,-12.911100
1995,ROW,B0609,52795.170900,45901.266500,147876.211700,1355.128300,378.232100,24.206900
1995,ROW,F,710160.883100,579834.569100,1457115.759100,9200.562600,5005.209100,4817.792200
1995,ROW,F09,701329.715500,572962.693100,1440258.018600,9072.538500,4951.877000,4780.674200
1996,AGO,B06,1610.880000,643.009600,4781.007600,54.775600,0.104100,10.985000
